,Unnamed: 0,propertyID_hemnet,houseAddress_1,houseAddress_2,Municipality,Date_of_sale_txt,Date_of_sale,Final_price,Starting_price,Housing_type,Tenure_type,Rooms,Living_Area_m2,Ancillary_Area_m2,Lot_area_m2,year_built,Ground_Rent_perYear,Operating_Cost,Patio_dummy,Elevator_dummy,Balcony_Dummy,Floor,Total_Floors,link
1472,1473,370500.0,Skönningared,"Skepplanda, Ale kommun",Ale,12 juni 2015,2015-06-12,490000,0.0,detached house,Ownership,4.0,101.5,53.3,2244,0,0,0,0,0,0,,,https://www.hemnet.se/salda/villa-4rum-skepplanda-ale-kommun-skonningared-370500
1473,1474,367504.0,Ljusevatten 345,"Risveden, Ale kommun",Ale,12 juni 2015,2015-06-12,1700000,0.0,detached house,Ownership,4.0,107.0,0.0,5040,1993,0,0,0,0,0,,,https://www.hemnet.se/salda/villa-4rum-risveden-ale-kommun-ljusevatten-345-367504
1474,1475,372473.0,Terrassvägen 11,"Alafors, Ale kommun",Ale,12 juni 2015,2015-06-12,3800000,0.0,detached house,Ownership,7.0,184.0,92.0,1081,1921,0,25647,0,0,0,,,https://www.hemnet.se/salda/villa-7rum-alafors-ale-kommun-terrassvagen-11-372473
1475,1476,365371.0,Nypongången 13,"Nödinge, Ale kommun",Ale,8 juni 2015,2015-06-08,3055000,0.0,detached house,Ownership,7.0,156.0,0.0,329,1973,0,40452,0,0,0,,,https://www.hemnet.se/salda/villa-7rum-nodinge-ale-kommun-nypongangen-13-365371
1476,1477,365520.0,Hålan Pers-Marias 233,"Nol, Ale kommun",Ale,8 juni 2015,2015-06-08,3820000,0.0,Farm without agriculture,Ownership,5.0,132.0,0.0,20000,2008,0,0,0,0,0,,,https://www.hemnet.se/salda/villa-5rum-nol-ale-kommun-halan-pers-marias-233-365520
1477,1478,365218.0,Offervägen 8,"Nödinge, Ale kommun",Ale,5 juni 2015,2015-06-05,2320000,0.0,detached house,Ownership,5.0,132.0,0.0,380,1977,0,25292,0,0,0,,,https://www.hemnet.se/salda/villa-5rum-nodinge-ale-kommun-offervagen-8-365218
1478,1479,370745.0,Egnahemsvägen 14,"Nol, Ale kommun",Ale,3 juni 2015,2015-06-03,1695000,0.0,detached house,Ownership,3.0,64.0,62.0,1148,1939,0,29253,0,0,0,,,https://www.hemnet.se/salda/villa-3rum-nol-ale-kommun-egnahemsvagen-14-370745
1479,1480,363075.0,Diklekärrsvägen 10,"Nödinge, Ale kommun",Ale,2 juni 2015,2015-06-02,3600000,0.0,detached house,Ownership,5.0,130.0,8.0,460,2012,0,33630,0,0,0,,,https://www.hemnet.se/salda/villa-5rum-nodinge-ale-kommun-diklekarrsvagen-10-363075
1480,1481,363074.0,Oljobergsvägen 36,"Nol, Ale kommun",Ale,2 juni 2015,2015-06-02,3015000,0.0,detached house,Ownership,5.0,131.0,97.0,1617,1962,0,41252,0,0,0,,,https://www.hemnet.se/salda/villa-5rum-nol-ale-kommun-oljobergsvagen-36-363074
1481,1482,361144.0,Ryk Tängevallen 370,"Skepplanda, Ale kommun",Ale,1 juni 2015,2015-06-01,1600000,0.0,detached house,Ownership,4.0,157.0,0.0,3610,1992,0,20500,0,0,0,,,https://www.hemnet.se/salda/villa-4rum-skepplanda-ale-kommun-ryk-tangevallen-370-361144
1482,1483,371208.0,Åkersliden 4,"Skepplanda, Ale kommun",Ale,31 maj 2015,2015-05-31,1850000,0.0,detached house,Ownership,5.0,125.0,125.0,820,1965,0,33500,0,0,0,,,https://www.hemnet.se/salda/villa-5rum-skepplanda-ale-kommun-akersliden-4-371208
1483,1484,367597.0,Kaveldunsvägen 21,"Älvängen, Ale kommun",Ale,31 maj 2015,2015-05-31,2995000,0.0,detached house,Ownership,6.0,180.0,0.0,853,1977,0,26649,0,0,0,,,https://www.hemnet.se/salda/villa-6rum-alvangen-ale-kommun-kaveldunsvagen-21-367597
1484,1485,359054.0,Göteborgsvägen 153,"Surte, Ale kommun",Ale,28 maj 2015,2015-05-28,1900000,0.0,detached house,Ownership,6.0,82.0,75.0,1111,1951,0,24088,0,0,0,,,https://www.hemnet.se/salda/villa-6rum-surte-ale-kommun-goteborgsvagen-153-359054
1485,1486,357226.0,Glömsten 532,"Skepplanda, Ale kommun",Ale,28 maj 2015,2015-05-28,2000000,0.0,detached house,Ownership,3.0,105.0,0.0,3912,2010,0,16236,0,0,0,,,https://www.hemnet.se/salda/villa-3rum-skepplanda-ale-kommun-glomsten-532-357226
1486,1487,369097.0,Platåvägen 2,"Bohus, Ale kommun",Ale,26 maj 2015,2015-05-26,4700000,0.0,detached house,Ownership,5.0,130.0,100.0,4425,1948,0,42790,0,0,0,,,https://www.hemnet.se/salda/villa-5rum-bohus-ale-kommun-platavagen-2-369097
1487,1488,357683.0,Hövägen 49,"Älvängen, Ale kommun",Ale,26 maj 2015,2015-05-26,3780000,0.0,detached house,Ownership,5.0,158.0,0.0,669,2004,0,33350,0,0,0,,,https://www.hemnet.se/salda/villa-5rum-alvangen-ale-kommun-hovagen-49-357683
1488,1489,356037.0,Jordfallsvägen 65,"Bohus, Ale kommun",Ale,25 maj 2015,2015-05-25,1485000,0.0,detached house,Ownership,4.0,70.0,20.0,824,1917,0,0,0,0,0,,,https://www.hemnet.se/salda/villa-4rum-bohus-ale-kommun-jordfallsvagen-65-356037
